"Species","Common_name","Suborder","Family","Body_size_min","Body_size_max","Body_size_median","Generations_per_year","Overwintering_stage","Flight_period_start","Flight_period_end","Flight_period_duration","Migratory","Flight_power","Distribution_status","JNCC_Red_List_status","Synchronicity","Climatic_restrictions","Lowland_rivers_and_canals","Streams_and_upland_rivers","Bogs_moorland_and_lowland_wet_heath","Levels_fens_and_grazing_marshes","Ponds_and_lakes","Woodland","No_habitat_types","Oviposition","Life_cycle_years","Life_cycle_range","breeding_habit","Body_length_min","Body_length_max","Larval_body_length_min","Larval_body_length_max","thorax_length","thorax_width","thorax_depth","left_forewing_length","left_forewing_width","left_hindwing_length","left_hindwing_width","right_forewing_length","right_forewing_width","right_hindwing_length","right_hindwing_width"
"Calopteryx virgo","Beautiful Demoiselle","Zygoptera","Calopterygidae",33,40,36.5,"L","L","Late May","September",3.5,"N",2,"Widespread","LC","Type 1 Spring","Oceanic",NA,1,NA,NA,NA,NA,1,"Endophytic",2,"2","lotic",45,49,17,23,6.725,3.79375,4.9625,33.325,10.5,32.66875,10.15,33.35,10.4875,32.6125,10.24375
"Ceriagrion tenellum","Small Red Damselfly","Zygoptera","Coenagrionidae",22,27,24.5,"L","L","Early June","Early September",3,"N",1,"Scarce","LC","Type 2 Summer","Southern",NA,NA,1,NA,NA,NA,1,"Endophytic",2,"2","lentic",25,35,11,12,4.4375,2.70625,2.83125,19.55,4.36875,18.5125,4.375,19.5375,4.175625,18.3875,4.35
"Coenagrion hastulatum","Northern Damselfly","Zygoptera","Coenagrionidae",22,26,24,"L","L","Mid May","Early August",2.5,"N",1,"Very rare","EN","Type 2 Summer","Northern",NA,NA,NA,NA,1,1,2,"Endophytic",1.4,"01-Feb","lentic",31,33,14,15,4.36153846153846,2.46923076923077,2.80769230769231,21.1923076923077,4.26153846153846,19.9538461538462,4.07692307692308,21.1153846153846,4.27692307692308,20.1153846153846,3.99230769230769
"Coenagrion lunulatum","Irish Damselfly","Zygoptera","Coenagrionidae",22,26,24,"L",NA,"Mid May","End July",2.5,"N",1,"Rare",NA,NA,NA,NA,NA,1,NA,1,1,3,"Endophytic",NA,NA,"lentic",30,33,15,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coenagrion mercuriale","Southern Damselfly","Zygoptera","Coenagrionidae",22,26,24,"L","L","Mid May","Early August",2.5,"N",2,"Rare","EN","Type 2 Summer","Southern",NA,1,1,NA,NA,NA,2,"Endophytic",2,"2","lotic",27,31,11,14,3.86875,2.33125,2.70625,18.1125,3.88125,17.14375,3.73125,18.2125,3.85625,17.2,3.81875
"Coenagrion puella","Azure Damsefly","Zygoptera","Coenagrionidae",23,30,26.5,"L","L","Mid May","Late August",3.5,"N",2,"Very widespread","LC","Type 2 Summer","Southern",1,NA,NA,1,1,1,4,"Endophytic",1.4,"01-Feb","lentic",33,35,12,13,4.23125,2.55,2.775,21.95625,4.025,20.525,3.9875,21.93125,4.05625,20.4125,3.98125
"Coenagrion pulchellum","Variable Damselfly","Zygoptera","Coenagrionidae",23,30,26.5,"O","L","Mid May","August",3,"N",2,"Local","NT","Type 2 Summer","Southern",1,NA,NA,1,1,NA,3,"Endophytic",1,"1","lentic",34,38,13,14,4.15625,2.56875,2.86875,21.275,4.175,19.9875,4.19375,21.20625,4.20625,20.0125,4.15625
"Coenagrion scitulum","Norfolk Damselfly","Zygoptera","Coenagrionidae",22,26,24,"O",NA,"Late May","Late July",2,"N",2,"Very rare",NA,NA,"Continental",NA,1,NA,1,1,NA,3,"Endophytic",1,"1","lentic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cordulegaster boltonii","Golden-ringed Dragonfly","Anisoptera","Cordulegastridae",54,64,59,"L","L","Late May","September",3.5,"N",3,"Widespread","LC","Type 1 Spring","Oceanic",NA,1,1,NA,NA,1,3,"Endophytic",3.2,"02-May","lotic",74,80,35,42,NA,8.58125,10.3375,45.975,10.25,45.2375,12.68125,46.1,10.2875,45.0625,12.69375
"Cordulia aenea","Downy Emerald","Anisoptera","Corduliidae",33,39,36,"L","L","Mid May","Mid July",2,"N",3,"Scarce","LC","Type 1 Spring","Southern",NA,NA,1,NA,1,1,3,"Exophytic",2.4,"02-Mar","lentic",47,55,22,25,9.31428571428571,5.90714285714286,7.54285714285714,36.2857142857143,8.16428571428571,33.95,10.2642857142857,34.7571428571429,8.12857142857143,34.0142857142857,10.2642857142857
"Enallagma cyathigerum","Common Blue Damselfly","Zygoptera","Coenagrionidae",24,28,26,"O","L","May","Early September",3.5,"N",2,"Very widespread","LC","Type 2 Summer","Widespread",1,NA,1,1,1,1,5,"Endophytic",1.4,"01-Feb","lentic",29,36,14,18,4.525,2.5625,3.16875,21.00625,4.13125,19.425,3.95,20.975,4.1625,19.3375,3.85
"Erythromma najas","Red-eyed Damselfly","Zygoptera","Coenagrionidae",25,30,27.5,"L","L","Mid May","Mid August",3,"N",3,"Local","LC","Type 1 Spring","Continental",1,NA,NA,1,1,1,4,"Endophytic",2,"2","lentic",30,36,18,22,5.50625,3.025,3.625,23.76875,4.90625,22.39375,4.675,23.78125,4.8125,22.38125,4.61875
