Specimen_Number,Preservation,Order,Family,Genus,Species,Sex,thorax_length,thorax_width,thorax_depth,left_forewing_length,left_forewing_width,left_hindwing_length,left_hindwing_width,right_forewing_length,right_forewing_width,right_hindwing_length,right_hindwing_width
989487,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna cyanea,m,10.2,7.9,11,47.1,11.6,46.8,15,47,11.1,46.1,15.8
988376,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna grandis,m,12.6,8.5,10.6,52,12.7,50.8,15.5,51.9,12.5,50.2,15.6
988379,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna grandis,f,12.4,8.6,12.4,51.8,13.3,50,16.1,51.5,13.2,50.7,16.4
988382,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna grandis,f,12.6,8.6,12,51.2,12.4,50.4,15.4,31.4,12.8,50.9,15.1
988381,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna grandis,f,11.5,8.9,11.5,50.7,12.4,50.1,15.6,50.4,12.6,50.1,15.1
988378,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna grandis,f,11.9,8.2,11.1,50.2,12.8,50,16.2,50.2,12.5,50.1,16.3
988377,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna grandis,f,11.7,8.3,11.3,50,12.7,49.3,16,50.2,12.9,49.1,16.2
988380,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna grandis,f,12.2,8.2,10.2,49.9,12.5,49.6,15.1,49.7,12.5,49.3,15.8
988383,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna grandis,f,12.3,8.1,9.3,49.5,12.3,49.3,15.1,49.3,12.5,49.3,15.2
988370,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna grandis,m,12.4,8.5,11.2,49.4,12.3,48.8,14.9,49.4,12.3,48.9,14.8
988375,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna grandis,m,11.2,8.2,10,49.3,11.8,49.3,14.7,48.9,11.7,48.5,14.9
988384,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna grandis,f,12.1,8.1,11,49,12.5,47.7,15.7,47.3,11.9,47.3,15.9
