Species,Suborder,Family,Body_size_min,Body_size_max,Body_size_median,Partivoltine,Semivoltine,Univoltine,Bivoltine,Multivoltine,Overwintering_stage,Flight_period_start,Flight_period_end,Flight_period_duration,Migratory,Distribution_status,JNCC_Red_List_status,Synchronicity,Climatic_restrictions,Lowland_rivers_and_canals,Streams_and_upland_rivers,Bogs_moorland_and_lowland_wet_heath,Levels_fens_and_grazing_marshes,Ponds_and_lakes,Woodland,No_habitat_types,Oviposition,breeding_habitat,Body_length_min,Body_length_max,Larval_body_length_min,Larval_body_length_max
Ceriagrion tenellum,Zygoptera,Coenagrionidae,22,27,24.5,0,1,0,0,0,L,Early June,Early September,3,N,Scarce,LC,Type 2 Summer,Southern,,,1,,,,1,Endophytic,lentic/lotic,25,35,11,12
Coenagrion hastulatum,Zygoptera,Coenagrionidae,22,26,24,1*,1*,1*,0,0,L,Mid May,Early August,2.5,N,Very rare,EN,Type 2 Summer,Northern,,,,,1,1,2,Endophytic,lentic,31,33,14,15
Coenagrion lunulatum,Zygoptera,Coenagrionidae,22,26,24,NA,NA,NA,NA,NA,NA,Mid May,End July,2.5,N,Rare,NA,NA,NA,,,1,,1,1,3,Endophytic,lentic,30,33,15,18
Coenagrion mercuriale,Zygoptera,Coenagrionidae,22,26,24,0,1,0,0,0,L,Mid May,Early August,2.5,N,Rare,EN,Type 2 Summer,Southern,,1,1,,,,2,Endophytic,lotic,27,31,11,14
Coenagrion puella,Zygoptera,Coenagrionidae,23,30,26.5,0,1,1,0,0,L,Mid May,Late August,3.5,N,Very widespread,LC,Type 2 Summer,Southern,1,,,1,1,1,4,Endophytic,lentic,33,35,12,13
Coenagrion pulchellum,Zygoptera,Coenagrionidae,23,30,26.5,0,0,1*,0,0,L,Mid May,August,3,N,Local,NT,Type 2 Summer,Southern,1,,,1,1,,3,Endophytic,lentic/lotic,34,38,13,14
Coenagrion scitulum,Zygoptera,Coenagrionidae,22,26,24,NA,NA,NA,NA,NA,NA,Late May,Late July,2,N,Very rare,NA,NA,Continental,,,,1,1,,2,Endophytic,lentic/lotic,NA,NA,NA,NA
Cordulegaster boltonii,Anisoptera,Cordulegastridae,54,64,59,1*,1*,0,0,0,L,Late May,September,3.5,N,Widespread,LC,Type 1 Spring,Oceanic,,1,1,,,,2,Endophytic,lotic,74,80,35,42
Cordulia aenea,Anisoptera,Corduliidae,33,39,36,1*,1*,0,0,0,L,Mid May,Mid July,2,N,Scarce,LC,Type 1 Spring,Southern,,,1,,1,1,3,Exophytic,lentic,47,55,22,25
Enallagma cyathigerum,Zygoptera,Coenagrionidae,24,28,26,NA,NA,NA,NA,NA,L,May,Early September,3.5,N,Very widespread,LC,Type 2 Summer,Widespread,1,,1,1,1,1,5,Endophytic,lentic/lotic,29,36,14,18
Erythromma najas,Zygoptera,Coenagrionidae,25,30,27.5,NA,NA,NA,NA,NA,L,Mid May,Mid August,3,N,Local,LC,Type 1 Spring,Continental,1,,,1,1,1,4,Endophytic,lentic/lotic,30,36,18,22
Erythromma viridulum,Zygoptera,Coenagrionidae,22,25,23.5,NA,NA,NA,NA,NA,NA,June,Early September,2.5,N,Local,NA,NA,Continental,,,,1,1,,2,Endophytic,lentic,NA,NA,NA,NA
Gomphus vulgatissimus,Anisoptera,Gomphidae,32,37,34.5,1*,1*,0,0,0,L,Early May,Late June,2,N,Rare,NT,Type 1 Spring,Southern,1,,,,,1,2,Exophytic,lotic,45,50,27,30
Ischnura elegans,Zygoptera,Coenagrionidae,22,29,25.5,0,1,1,1*,1*,L,May,September,4,N,Very widespread,LC,Type 2 Summer,Widespread,1,,1,1,1,1,5,Endophytic,lentic,30,34,13,15
Ischnura pumilio,Zygoptera,Coenagrionidae,21,25,23,0,0,1,1*,1*,L,Late May,Early September,3,N,Scarce,NT,Type 2 Summer,Southern,,,1,1,,,2,Endophytic,lentic,26,31,11,12
Lestes barbarus,Zygoptera,Lestidae,26,35,30.5,NA,NA,NA,NA,NA,E,End May,End September,4,Y,Very rare,LC,Type 3 Summer,Continental,,,1,1,,,2,Endophytic,lentic,40,45,17,18
Lestes dryas,Zygoptera,Lestidae,25,33,29,0,0,1*,0,0,E,Late June,Late August,2,N,Rare,NT,Type 3 Summer,Continental,,,,1,1,,2,Endophytic,lentic,35,40,17,22
Lestes sponsa,Zygoptera,Lestidae,25,33,29,0,0,1,0,0,E,Late June,Late September,3,N,Very widespread,LC,Type 3 Summer,Widespread,1,,1,1,1,1,5,Endophytic,lentic,35,39,16,22
Lestes viridis,Zygoptera,Lestidae,30,40,35,0,0,1*,0,0,E,June,November,5,Y,Very rare,NA,Type 3 Summer,Continental,1,,,1,1,,3,Endophytic,lentic/lotic,39,48,16,19
Leucorrhinia dubia,Anisoptera,Libellulidae,21,27,24,1*,1*,0,0,0,L,Mid May,Early August,2.5,N,Rare,EN,Type 1 Spring,Northern,,,1,,,,1,Exophytic,lentic,31,36,18,22
Libellula depressa,Anisoptera,Libellulidae,22,28,25,0,1*,1,0,0,L,Mid May,Early August,2.5,N,Widespread,LC,Type 1 Spring,Southern,,,,1,1,,2,Exophytic,lentic,39,48,22.5,25
Libellula fulva,Anisoptera,Libellulidae,26,29,27.5,0,1*,0,0,0,L,Late May,Early Auu,2,N,Rare,NT,Type 1 Spring,Southern,1,,,1,,,2,Exophytic,lentic,42,45,22,25
Libellula quadrimaculata,Anisoptera,Libellulidae,27,32,29.5,0,0,1*,0,0,L,Late May,Mid August,2.5,Y,Very widespread,LC,Type 1 Spring,Widespread,1,,1,1,1,,4,Exophytic,lentic/lotic,40,48,18,28
Orthetrum cancellatum,Anisoptera,Libellulidae,29,35,32,0,1*,0,1*,0,L,Late May,Early August,2,N,Local,LC,Type 1 Spring,Southern,1,,,1,1,,3,Exophytic,lentic/lotic,44,50,23,25.5
Orthetrum coerulescens,Anisoptera,Libellulidae,25,31,28,0,0,1*,1*,0,L,Early June,Late August,3,N,Local,LC,Type 1 Spring,Oceanic,,1,1,,,,2,Exophytic,lotic,36,45,17,23
Platycnemis pennipes,Zygoptera,Platycnemis,27,31,29,0,0,1*,0,0,L,Late May,Mid August,2.5,N,Scarce,LC,Type 1 Spring,Southern,1,,,1,,,2,Endophytic,lotic,35,37,13,15
Pyrrhosoma nymphula,Zygoptera,Coenagrionidae,25,29,27,0,1,1,0,0,L,Mid May,Early July,1.5,N,Very widespread,LC,Type 1 Spring,Widespread,1,,1,1,1,1,5,Endophytic,lentic,33,36,13,14
Somatochlora arctica,Anisoptera,Corduliidae,30,37,33.5,1*,0,0,0,0,L,Late May,Late September,4,N,Rare,NT,Type 1 Spring,Northern,,,1,,1,1,3,Exophytic,lentic,45,51,17,20
Somatochlora metallica,Anisoptera,Corduliidae,37,40,38.5,1*,1*,0,0,0,L,Late June,August,1.5,N,Rare,VU,Type 1 Spring,Widespread,,,,,1,1,2,Exophytic,lentic/lotic,50,55,23,26
Sympetrum danae,Anisoptera,Libellulidae,18,24,21,0,0,1*,0,0,E,Mid July,Mid September,2,Y,Widespread,LC,Type 3 Summer,Widespread,,,1,,,,1,Exophytic,lentic,29,34,13,16
Sympetrum sanguineum,Anisoptera,Libellulidae,20,26,23,0,0,1,0,0,E,Late June,October,3.5,N,Widespread,LC,Type 3 Summer,Continental,1,,1,1,1,1,5,Exophytic,lentic,34,39,15,17
Sympetrum striolatum,Anisoptera,Libellulidae,25,30,27.5,0,0,1,1*,0,EL,Mid June,November,5,Y,Very widespread,LC,Type 3 Summer,Widespread,1,,1,1,1,1,5,Exophytic,lentic/lotic,35,44,15.5,18
